GAGEID,geometry_area_km2,gauge_lat,gauge_lon,area_gages2,area_difference_km2,area_difference_pct,area_gt_10pct,area_missing_metadata,basin_id,exclude_id_geometry,exclude_area,area_pass,retained,excluded,exclude_management,exclude_missing_attributes,exclude_landcover,exclude_ai,first_exclusion_reason,status,population_label,management_decision,NOAA_region
01013500,2302.2892474711175,47.23739,-68.58264,2252.7,49.58924747111769,2.2013249643147197,False,False,01013500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
01030500,3673.86425895796,45.50097,-68.30596,3676.17,-2.305741042040154,0.06272128443570765,False,False,01030500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
02314500,2808.0241341924775,30.68056,-82.56056,3322.15,-514.1258658075226,15.475696937450826,True,False,02314500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
02315500,5914.52793732891,30.32578,-82.73818,6136.26,-221.7320626710898,3.6134724192112104,False,False,02315500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
03164000,2959.409900515977,36.64735,-80.97897,2952.74,6.669900515977133,0.22588851426055576,False,False,03164000,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
03213700,2428.8170870742865,37.67316,-82.28014,2425.06,3.7570870742865736,0.154927592483756,False,False,03213700,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
04056500,2982.0868509480215,46.03053,-86.16125,2945.89,36.19685094802162,1.2287237795037025,False,False,04056500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
04124000,2287.7720317100516,44.43639,-85.69868,2243.63,44.14203171005147,1.9674381119013147,False,False,04124000,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05056000,5646.832262917326,47.80555,-98.71622,4862.02,784.8122629173258,16.141691373489326,True,False,05056000,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
05057000,8134.198776915601,47.43277,-98.0276,7582.46,551.7387769156012,7.2765141776626745,False,False,05057000,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05062500,2435.314566488782,47.26663,-96.24478,2407.05,28.26456648878184,1.1742409376116756,False,False,05062500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05123400,3219.3566905146454,48.58889,-100.44208,3206.1,13.25669051464547,0.4134833758973666,False,False,05123400,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05129115,2371.156927043715,48.26463,-92.56599,2357.59,13.566927043714713,0.5754574393221346,False,False,05129115,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05131500,4340.193429097903,48.39578,-93.54933,4383.51,-43.31657090209683,0.9881709155926831,False,False,05131500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05412500,4021.8041392654222,42.73999,-91.2618,3858.21,163.5941392654222,4.240156426566263,False,False,05412500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
05514500,2407.067689623717,39.0088,-90.97754,2407.41,-0.3423103762829669,0.01421903108664361,False,False,05514500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
05585000,3366.533578466846,40.02477,-90.63179,3354.61,11.923578466845811,0.35543858948866813,False,False,05585000,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
06043500,2119.94890369152,45.49743,-111.27051,2120.42,-0.47109630847990047,0.02221712247950408,False,False,06043500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
06191500,6804.670665826896,45.11188,-110.79438,6783.59,21.08066582689571,0.3107597279153915,False,False,06191500,False,False,True,False,True,False,False,True,False,land_cover,excluded,Excluded,not_retained_after_static_screen,
06339500,3156.0888723855983,47.15445,-102.05989,3171.46,-15.371127614401757,0.4846703920087832,False,False,06339500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
06353000,4599.61638564611,46.09167,-101.33374,4526.51,73.10638564610963,1.6150717803806824,False,False,06353000,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
06441500,8135.171015862946,44.32665,-100.3843,8152.55,-17.37898413705443,0.21317237106248266,False,False,06441500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
06450500,4069.8007473350085,43.60139,-100.74986,4111.27,-41.46925266499193,1.0086725674789523,False,False,06450500,False,False,True,True,False,False,False,False,False,,primary_population,Retained,keep,
